"BehaviorSpace results (NetLogo 6.2.0)"
"firefightersRTM.nlogo"
"experiment"
"09/07/2022 19:11:50:871 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","nb-firefighters","propforest","communication?","nb-groups","[step]","count patches with [state = ""burned""]"
"346","12","10","true","4","67","1"
"343","12","10","true","4","93","1"
"348","12","10","true","4","22","1"
"350","12","10","true","4","17","1"
"351","12","10","true","4","20","1"
"322","12","10","true","4","525","3"
"341","12","10","true","4","240","2"
"337","12","10","true","4","310","1"
"353","12","10","true","4","12","1"
"356","12","10","true","4","65","1"
"347","12","10","true","4","174","1"
"331","12","10","true","4","432","1"
"357","12","10","true","4","13","1"
"358","12","10","true","4","35","4"
"354","12","10","true","4","131","1"
"355","12","10","true","4","151","1"
"352","12","10","true","4","177","1"
"363","12","10","true","4","11","3"
"345","12","10","true","4","344","1"
"362","12","10","true","4","20","3"
"365","12","10","true","4","9","3"
"364","12","10","true","4","36","2"
"369","12","10","true","4","2","1"
"366","12","10","true","4","56","1"
"371","12","10","true","4","4","2"
"372","12","10","true","4","3","1"
"373","12","10","true","4","7","2"
"361","12","10","true","4","140","1"
"374","12","10","true","4","6","1"
"368","12","10","true","4","88","1"
"377","12","10","true","4","58","1"
"360","12","10","true","4","269","1"
"376","12","10","true","4","111","1"
"378","12","10","true","4","48","2"
"375","12","10","true","4","157","1"
"380","12","10","true","4","56","1"
"381","12","10","true","4","54","1"
"370","12","10","true","4","233","1"
"385","12","10","true","4","2","1"
"384","12","10","true","4","8","2"
"367","12","10","true","4","309","1"
"388","12","10","true","4","2","1"
"379","12","10","true","4","113","2"
"389","12","10","true","4","1","1"
"387","12","10","true","4","46","1"
"390","12","10","true","4","34","4"
"382","12","10","true","4","136","2"
"386","12","10","true","4","105","3"
"395","12","10","true","4","3","1"
"396","12","10","true","4","25","4"
"393","12","10","true","4","117","2"
"397","12","10","true","4","32","1"
"383","12","10","true","4","233","2"
"400","12","10","true","4","7","2"
"401","12","10","true","6","26","1"
"402","12","10","true","6","17","1"
"391","12","10","true","4","212","1"
"349","12","10","true","4","751","1"
"359","12","10","true","4","711","2"
"398","12","10","true","4","100","1"
"405","12","10","true","6","6","1"
"407","12","10","true","6","4","2"
"403","12","10","true","6","36","1"
"392","12","10","true","4","268","1"
"404","12","10","true","6","43","6"
"412","12","10","true","6","1","1"
"399","12","10","true","4","135","3"
"410","12","10","true","6","37","3"
"414","12","10","true","6","6","3"
"415","12","10","true","6","11","2"
"416","12","10","true","6","20","3"
"413","12","10","true","6","83","1"
"419","12","10","true","6","13","3"
"394","12","10","true","4","383","1"
"420","12","10","true","6","41","2"
"418","12","10","true","6","93","1"
"422","12","10","true","6","9","3"
"408","12","10","true","6","220","1"
"425","12","10","true","6","2","1"
"426","12","10","true","6","7","2"
"417","12","10","true","6","202","3"
"409","12","10","true","6","268","1"
"429","12","10","true","6","19","1"
"411","12","10","true","6","227","1"
"430","12","10","true","6","11","2"
"428","12","10","true","6","45","1"
"433","12","10","true","6","38","2"
"427","12","10","true","6","149","2"
"435","12","10","true","6","8","2"
"406","12","10","true","6","312","1"
"436","12","10","true","6","114","2"
"438","12","10","true","6","12","2"
"437","12","10","true","6","43","2"
"434","12","10","true","6","219","1"
"432","12","10","true","6","234","1"
"442","12","10","true","6","14","3"
"439","12","10","true","6","95","1"
"440","12","10","true","6","89","1"
"424","12","10","true","6","465","1"
"421","12","10","true","6","493","2"
"446","12","10","true","6","1","1"
"447","12","10","true","6","9","3"
"441","12","10","true","6","122","2"
"449","12","10","true","6","5","2"
"431","12","10","true","6","333","1"
"451","12","10","true","6","30","1"
"445","12","10","true","6","71","2"
"453","12","10","true","6","19","2"
"454","12","10","true","6","35","1"
"456","12","10","true","6","10","3"
"455","12","10","true","6","59","1"
"443","12","10","true","6","321","1"
"452","12","10","true","6","215","1"
"459","12","10","true","6","9","2"
"423","12","10","true","6","715","2"
"450","12","10","true","6","306","1"
"461","12","10","true","6","53","1"
"444","12","10","true","6","317","2"
"464","12","10","true","6","47","4"
"465","12","10","true","6","42","1"
"460","12","10","true","6","120","1"
"468","12","10","true","6","4","1"
"469","12","10","true","6","3","1"
"470","12","10","true","6","26","1"
"462","12","10","true","6","171","1"
"467","12","10","true","6","65","1"
"458","12","10","true","6","373","2"
"466","12","10","true","6","132","1"
"475","12","10","true","6","2","1"
"457","12","10","true","6","311","5"
"473","12","10","true","6","81","1"
"463","12","10","true","6","275","1"
"472","12","10","true","6","142","1"
"480","12","10","true","6","3","1"
"448","12","10","true","6","633","1"
"477","12","10","true","6","202","1"
"471","12","10","true","6","237","1"
"476","12","10","true","6","213","1"
"479","12","10","true","6","135","1"
"478","12","10","true","6","151","1"
"484","12","10","true","6","28","1"
"481","12","10","true","6","118","1"
"482","12","10","true","6","90","3"
"490","12","10","true","6","18","1"
"487","12","10","true","6","64","1"
"489","12","10","true","6","44","1"
"491","12","10","true","6","3","2"
"494","12","10","true","6","33","4"
"493","12","10","true","6","70","1"
"496","12","10","true","6","2","1"
"492","12","10","true","6","114","1"
"498","12","10","true","6","2","1"
"499","12","10","true","6","5","1"
"474","12","10","true","6","426","1"
"497","12","10","true","6","60","1"
"486","12","10","true","6","254","2"
"503","12","10","true","12","2","1"
"502","12","10","true","12","54","3"
"488","12","10","true","6","223","2"
"505","12","10","true","12","9","1"
"485","12","10","true","6","317","1"
"506","12","10","true","12","34","2"
"508","12","10","true","12","9","1"
"504","12","10","true","12","57","2"
"509","12","10","true","12","9","2"
"511","12","10","true","12","42","2"
"500","12","10","true","6","167","2"
"501","12","10","true","12","162","1"
"515","12","10","true","12","4","1"
"516","12","10","true","12","19","4"
"507","12","10","true","12","135","1"
"483","12","10","true","6","448","1"
"514","12","10","true","12","57","1"
"520","12","10","true","12","11","2"
"519","12","10","true","12","10","1"
"512","12","10","true","12","126","1"
"517","12","10","true","12","27","1"
"495","12","10","true","6","331","1"
"521","12","10","true","12","11","2"
"524","12","10","true","12","3","1"
"523","12","10","true","12","20","1"
"522","12","10","true","12","32","1"
"528","12","10","true","12","21","1"
"525","12","10","true","12","35","1"
"526","12","10","true","12","37","2"
"529","12","10","true","12","13","1"
"518","12","10","true","12","82","1"
"534","12","10","true","12","6","1"
"532","12","10","true","12","45","1"
"510","12","10","true","12","291","2"
"535","12","10","true","12","208","2"
"537","12","10","true","12","107","1"
"538","12","10","true","12","19","3"
"513","12","10","true","12","385","1"
"541","12","10","true","12","29","2"
"536","12","10","true","12","311","1"
"530","12","10","true","12","381","1"
"542","12","10","true","12","26","1"
"544","12","10","true","12","17","1"
"527","12","10","true","12","246","1"
"533","12","10","true","12","369","3"
"548","12","10","true","12","3","1"
"539","12","10","true","12","161","1"
"545","12","10","true","12","63","4"
"540","12","10","true","12","191","2"
"546","12","10","true","12","83","1"
"552","12","10","true","12","18","1"
"554","12","10","true","12","5","2"
"543","12","10","true","12","160","1"
"556","12","10","true","12","71","1"
"547","12","10","true","12","185","1"
"558","12","10","true","12","5","1"
"557","12","10","true","12","45","1"
"555","12","10","true","12","185","1"
"551","12","10","true","12","228","1"
"562","12","10","true","12","47","1"
"563","12","10","true","12","4","1"
"531","12","10","true","12","688","1"
"565","12","10","true","12","2","1"
"564","12","10","true","12","69","1"
"561","12","10","true","12","162","2"
"553","12","10","true","12","446","3"
"568","12","10","true","12","67","1"
"567","12","10","true","12","82","1"
"571","12","10","true","12","5","2"
"569","12","10","true","12","11","1"
"566","12","10","true","12","129","1"
"570","12","10","true","12","18","4"
"560","12","10","true","12","312","1"
"574","12","10","true","12","11","1"
"575","12","10","true","12","8","3"
"578","12","10","true","12","9","7"
"576","12","10","true","12","20","1"
"579","12","10","true","12","3","2"
"573","12","10","true","12","40","1"
"580","12","10","true","12","13","3"
"577","12","10","true","12","30","1"
"583","12","10","true","12","63","1"
"550","12","10","true","12","565","1"
"586","12","10","true","12","1","1"
"581","12","10","true","12","88","1"
"582","12","10","true","12","83","2"
"559","12","10","true","12","457","2"
"585","12","10","true","12","73","1"
